EXERCICE,D_R,I_F,ORDRE_O_N,CODE_CHAPITRE,LIBELLE_CHAPITRE,CODE_SS_FONCTION,LIBELLE_SS_FONCTION,CODE_ARTICLE,LIBELLE_ARTICLE,MONTANT
2011,D,I,N,1,RESULTAT D'INVESTISSEMENT REPORTE,1,Services généraux opérations non ventilables,1,RESULTAT D'INVESTISSEMENT REPORTE,0
2011,R,F,N,2,RESULTAT DE FONCTIONNEMENT REPORTE,1,Services généraux opérations non ventilables,2,RESULTAT DE FONCTIONNEMENT REPORTE,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,1,Services généraux opérations non ventilables,6288,DIVERS - AUTRES SERVICES EXTERIEURS,100000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6041,ACHAT D'ETUDES,1000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6042,ACHAT DE PRESTATIONS DE SERVICES,607740
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60611,EAU ET ASSAINISSEMENT,591268
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60612,ENERGIE,5118780
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60621,COMBUSTIBLES,875000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60623,ALIMENTATION,123300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60628,AUTRES FOURNITURES NON STOCKEES,6000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60631,FOURNITURES D'ENTRETIEN,37700
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60632,FOURNITURES DE PETIT EQUIPEMENT,76640
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60633,FOURNITURES DE VOIRIE,300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,60636,VETEMENTS DE TRAVAIL,68500
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6064,FOURNITURES ADMINISTRATIVES,214300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6068,AUTRES MATIERES ET FOURNITURES,906200
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,611,CONTRATS PRESTATIONS DE SERVICES AVEC ENTREPRISES,1029100
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6132,LOCATIONS IMMOBILIERES,2452950
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6135,LOCATIONS MOBILIERES,113300
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,614,CHARGES LOCATIVES ET DE COPROPRIETE,678952
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,61521,ENTRETIEN ET REPARATIONS - TERRAINS,0
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,61522,ENTRETIEN ET REPARATIONS - BATIMENTS,1444000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,61551,ENTRETIEN ET REPARATIONS - MATERIEL ROULANT,8000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,61558,ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS,82600
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6156,MAINTENANCE,1431282
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,616,PRIMES D'ASSURANCE,534040
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,617,ETUDES ET RECHERCHES,465000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6182,DOCUMENTATION GENERALE ET TECHNIQUE,272200
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6184,VERSEMENTS A DES ORGANISMES DE FORMATION,781000
2011,D,F,N,11,CHARGES A CARACTERE GENERAL,20,Administration générale de la collectivité,6185,FRAIS DE COLLOQUES ET SEMINAIRES,8800
