TOPIC,CATEGORY,CODE_CHAPITRE,CODE_SS_FONCTION,CODE_ARTICLE
ÉCONOMIE,Divers,21,90,2188
ÉCONOMIE,Divers,23,90,2313
ÉCONOMIE,Divers,23,91,2313
ÉCONOMIE,Divers,65,90,651
ÉCONOMIE,Divers,77,90,7788
ÉCONOMIE,Fiscalité,11,91,637
ÉCONOMIE,Fiscalité,73,91,7336
ÉCONOMIE,Fiscalité,73,91,7338
ÉCONOMIE,Fiscalité,65,91,654
ÉCONOMIE,"Frais de fonctionnement",11,91,6042
ÉCONOMIE,"Frais de fonctionnement",11,91,6068
ÉCONOMIE,"Frais de fonctionnement",11,91,6132
ÉCONOMIE,"Frais de fonctionnement",11,91,6135
ÉCONOMIE,"Frais de fonctionnement",11,91,6236
ÉCONOMIE,"Frais de fonctionnement",11,91,6247
ÉCONOMIE,"Frais de fonctionnement",11,91,6257
ÉCONOMIE,"Frais de fonctionnement",11,91,6283
ÉCONOMIE,"Frais de fonctionnement",11,91,6288
ÉCONOMIE,"Frais de fonctionnement",11,91,60622
ÉCONOMIE,"Frais de fonctionnement",11,91,60623
ÉCONOMIE,"Frais de fonctionnement",11,91,60631
ÉCONOMIE,"Frais de fonctionnement",11,91,60632
ÉCONOMIE,"Frais de fonctionnement",11,91,60636
ÉCONOMIE,"Frais de fonctionnement",11,91,61521
ÉCONOMIE,"Frais de fonctionnement",11,90,611
ÉCONOMIE,"Frais de fonctionnement",11,90,617
ÉCONOMIE,"Frais de fonctionnement",11,90,6236
ÉCONOMIE,"Frais de fonctionnement",11,90,6247
ÉCONOMIE,"Frais de fonctionnement",11,90,6251
ÉCONOMIE,"Frais de fonctionnement",11,90,6257
ÉCONOMIE,"Frais de fonctionnement",11,91,611
ÉCONOMIE,"Frais de fonctionnement",67,91,6718
ÉCONOMIE,Participations,74,90,7478
ÉCONOMIE,Participations,74,91,74751
ÉCONOMIE,Subventions,65,90,6574
ÉCONOMIE,Subventions,65,90,65738
ÉCONOMIE,Subventions,65,90,657351
ÉCONOMIE,Subventions,65,91,6574
ÉCONOMIE,Subventions,204,90,2042
